"('not yet another barbecue sauce', 'Malty')"
"('savory potato salad', 'Hoppy')"
"('chicken  potato and spinach curry', 'Crisp')"
"('mango shake  raw food', 'Hoppy')"
"('kneophla soup', 'Fruity/Spicy')"
"('rachael ray s mustard crusted salmon', 'Crisp')"
"('mama s salmon fillets', 'Hoppy')"
"('banana nut muffins', 'Specialty')"
"('healthy chicken turkey burgers', 'Hoppy')"
"('tangy  zesty oil and vinegar potato salad', 'Hoppy')"
"('cheddar chicken crunch', 'Malty')"
"('i love green beans', 'Smoky')"
"('alaskan salmon dip', 'Fruity/Spicy')"
"('swinging safari', 'Specialty')"
"('melt in your mouth sugar cookies', 'Specialty')"
"('pumpkin toffee cookies', 'Specialty')"
"('rosemary sweet potato soup', 'Hoppy')"
"('super crunchy fried chicken', 'Fruity/Spicy')"
"('ginger cashew chicken casserole', 'Hoppy')"
"('tomato quiche', 'Fruity/Spicy')"
"('cheesy beef and rice bake', 'Hoppy')"
"('banana and coconut tart', 'Malty')"
"('mahana cocktail from tahiti', 'Malty')"
"('sausage macaroni supper', 'Hoppy')"
"('not your ordinary stuffed shells', 'Fruity/Spicy')"
"('yeast pancakes', 'Malty')"
"('smoked oyster pate', 'Smoky')"
"('homemade sambal oelek', 'Hoppy')"
"('tasty avocado salad', 'Crisp')"
"('baby sweet potato cakes with pecans and sticky caramel sauce', 'Specialty')"
"('southern cross', 'Specialty')"
"('peppery grilled chicken', 'Malty')"
"('double chocolate treasures', 'Specialty')"
"('easy two ingredient stuffed mushrooms', 'Fruity/Spicy')"
"('hardboiled eggs a la alexandria  shakshukat beed iskandarani', 'Hoppy')"
"('gingersnap biscotti', 'Fruity/Spicy')"
"('fabulous spinach marinara', 'Fruity/Spicy')"
"('garlic herb butter crostini', 'Hoppy')"
"('bloody mary pot roast with fall vegetables', 'Hoppy')"
"('chicken with curry and lemon sauce', 'Fruity/Spicy')"
"('grilled honey soy chicken', 'Fruity/Spicy')"
"('bulgur burgers with avocado mayo', 'Crisp')"
"('potato  cheese and bacon soup', 'Malty')"
"('chicken salad cream puffs', 'Malty')"
"('huszarcsok  hussar s kisses', 'Fruity/Spicy')"
"('grilled chicken breast', 'Crisp')"
"('stuffed pide  turkish pizza', 'Hoppy')"
"('jeanne s style  birthday cake', 'Specialty')"
"('super bowl chili', 'Hoppy')"
"('orange pull aparts', 'Fruity/Spicy')"
"('zucchini buttermilk bread', 'Specialty')"
"('potatoes anna', 'Hoppy')"
"('hungry jack casserole', 'Malty')"
"('plain dumplings  spatzen', 'Malty')"
"('ila s iced tequila', 'Hoppy')"
"('fudgy pudgy cake', 'Specialty')"
"('licorice mint iced tea', 'Malty')"
"('rice pudding with cream', 'Specialty')"
"('shakshouka on a dollar', 'Hoppy')"
"('cornbread sausage stuffing', 'Malty')"
"('4 layer cream cheese pudding dessert', 'Specialty')"
"('lime marinade', 'Hoppy')"
"('gina s shepherd s pie', 'Hoppy')"
"('easy herb pizza dough', 'Fruity/Spicy')"
"('from the field  green beans  fresh herbs and walnuts', 'Hoppy')"
"('parmesan pull apart bread', 'Hoppy')"
"('sweet onions', 'Malty')"
"('mom s date squares', 'Hoppy')"
"('buttermilk cinnamon bars', 'Specialty')"
"('campbell s creamy chicken enchiladas', 'Fruity/Spicy')"
"('el cid chili', 'Hoppy')"
"('7 up biscuits', 'Specialty')"
"('winter chicken', 'Malty')"
"('chinese imperial palace general tso s chicken', 'Fruity/Spicy')"
"('hamburger    hamburger jack in the box jumbo jack by todd wilbur', 'Crisp')"
"('chocodiles  cookie bars', 'Specialty')"
"('sweet and savory burgers', 'Hoppy')"
"('baked caramel corn', 'Malty')"
"('ww 4 points   pollo pibil', 'Hoppy')"
"('pumpkin pie  amish recipe  delicious', 'Specialty')"
"('best blondies ever', 'Specialty')"
"('parmesan garlic potatoes', 'Hoppy')"
"('pineapple spice cake', 'Fruity/Spicy')"
"('creamy sauteed chicken and spinach', 'Malty')"
"('carolina chili dogs  oamc', 'Hoppy')"
"('hot dog and fries hash with variations', 'Fruity/Spicy')"
"('quick and easy casserole version of pampered chef taco ring', 'Specialty')"
"('almond brittle  croccante', 'Smoky')"
"('golden salmon on a bed of lentils', 'Fruity/Spicy')"
"('pork tenderloin with gorgonzola sauce', 'Malty')"
"('lamb  bell pepper and feta stew', 'Hoppy')"
"('artichoke and mushroom italian  style', 'Hoppy')"
"('kalamata pork tenderloin with rosemary', 'Hoppy')"
"('oatmeal to the max', 'Specialty')"
"('lemon ricotta pie', 'Specialty')"
"('laurie s potato curry', 'Crisp')"
"('chicken and olives  crock pot', 'Malty')"
"('pepperoni pizza football cheese ball', 'Specialty')"
"('mawthook s beefy chili', 'Hoppy')"
"('texas cheese fries', 'Fruity/Spicy')"
"('potato casserole with fried onions', 'Hoppy')"
"('unstuffed pepper bake', 'Hoppy')"
"('fresh fruit kabobs with poppy seed dip', 'Specialty')"
"('baked salmon with red potatoes and squash', 'Fruity/Spicy')"
"('spanish style garlic shrimp with capers', 'Smoky')"
"('tuscan rosemary dry rub', 'Malty')"
"('chicken and pork apritada', 'Malty')"
"('delightful eggplant  aubergine  bake', 'Fruity/Spicy')"
"('ode to brad pitt', 'Hoppy')"
"('cherry enchiladas', 'Specialty')"
"('turmeric rice', 'Fruity/Spicy')"
"('cory s famous mac and cheese', 'Specialty')"
"('egyptian molokheya  green spinach like soup', 'Malty')"
"('mom s beef roast', 'Roasty')"
"('spaghetti with creamy spinach and tarragon', 'Specialty')"
"('pork and clams  ameijoas na cataplana', 'Hoppy')"
"('crab salad  imitation crab', 'Hoppy')"
"('lobster bisque', 'Hoppy')"
"('stack a roll stroganoff', 'Roasty')"
"('spanish chicken with peppers', 'Fruity/Spicy')"
"('apple   fennel salad with honey celery seed dressing', 'Malty')"
"('maple grilled pears with brown sugar and cinnamon', 'Malty')"
"('iraquian rice with potato crust  zwt3', 'Hoppy')"
"('hungarian chocolate cream bars', 'Specialty')"
"('ash e jow  iranian barley soup', 'Hoppy')"
"('baked chicken spring rolls', 'Crisp')"
"('crock pot taco chicken', 'Fruity/Spicy')"
"('homecoming beans oamc', 'Malty')"
"('smoked tofu baked chimichangas', 'Smoky')"
"('broccoli cheese crescent squares', 'Hoppy')"
"('traditional irish white bread', 'Malty')"
"('spicy asian chicken pasta', 'Hoppy')"
"('ham roll ups', 'Specialty')"
"('roasted red pepper pesto crostini', 'Hoppy')"
"('germantown cookies', 'Fruity/Spicy')"
"('cube steaks parmigiana', 'Hoppy')"
"('better than bakery sticky buns', 'Malty')"
"('excellent frosting', 'Specialty')"
"('fiber breakfast cereal hot or cold', 'Smoky')"
"('lime scented bulgar pilaf with raisins and pine nuts', 'Crisp')"
"('sesame chicken from the ground up', 'Fruity/Spicy')"
"('chicken alfredo lasagna', 'Fruity/Spicy')"
"('self saucing cherry pudding', 'Sour')"
"('lahmahjoon pizza', 'Hoppy')"
"('lemony lemon brownies', 'Hoppy')"
"('tacos de mero   halibut tacos', 'Hoppy')"
"('glady s spanish rice', 'Hoppy')"
"('sinful chocolate cake', 'Specialty')"
"('beefy taco joes', 'Hoppy')"
"('lychee vodka', 'Malty')"
"('wasabi pineapple cheese ball', 'Specialty')"
"('chicken fried spam', 'Hoppy')"
"('healthy veggie scramble', 'Hoppy')"
"('gluten free sticky buns', 'Malty')"
"('finger lickin  sticky chicken', 'Malty')"
"('pork tenderloin rodriguez w guava glaze   orange habaneros', 'Crisp')"
"('george washington s rice waffles', 'Malty')"
"('mounds morsels', 'Specialty')"
"('southwestern snack squares', 'Crisp')"
"('chili and cornbread casserole', 'Hoppy')"
"('garden pasta salad with creamy dill dressing', 'Hoppy')"
"('bacon  leek  and potato pie', 'Smoky')"
"('slow cooker vegetable soup', 'Hoppy')"
"('crock pot short ribs in ancho chile sauce', 'Hoppy')"
"('bay head cream cheese spread', 'Specialty')"
"('crescent caramel cinnamon swirls', 'Malty')"
"('tidbit raw vegetable salad with toasted seeds', 'Hoppy')"
"('broccoli potatoes', 'Hoppy')"
"('colombo curry powder', 'Hoppy')"
"('green beans with peanut dressing', 'Malty')"
"('sardines in tomato sauce', 'Roasty')"
"('honey pork chops and apples', 'Malty')"
"('gail s summer storm', 'Malty')"
"('fusion potato salad', 'Hoppy')"
"('very poor man s lobster', 'Crisp')"
"('country fried chicken with gravy', 'Crisp')"
"('no bake apple crisp', 'Malty')"
"('super soft caramel popcorn', 'Malty')"
"('zucchini scramble', 'Fruity/Spicy')"
"('cheesy potatoes dutch oven', 'Malty')"
"('warm lobster salad with arugula and truffle oil', 'Hoppy')"
"('high protein pancakes', 'Specialty')"
"('grandpas delicious sugar cookies', 'Specialty')"
"('easy tuna melt casserole bake', 'Malty')"
"('zucchini salsa', 'Hoppy')"
"('michelle s margaritas', 'Hoppy')"
"('herb garlic baguettes', 'Fruity/Spicy')"
"('campbell s mini green bean casseroles', 'Specialty')"
"('strawberry nasturtium salad', 'Malty')"
"('sloppy joes crescent casserole', 'Hoppy')"
"('the maven s fudge brownies', 'Roasty')"
"('coleslaw  cock of the walk', 'Hoppy')"
"('easy pesto shirataki noodles', 'Malty')"
"('shells with mushrooms and shrimp', 'Fruity/Spicy')"
"('banana pancakes with blueberry sauce', 'Specialty')"
"('italian chicken and rice', 'Malty')"
"('tsr version of jimmy buffett s key lime pie by todd wilbur', 'Crisp')"
"('bread pudding  best ever', 'Specialty')"
"('christmas candles centerpiece', 'Crisp')"
"('apple creme brulee cheesecake', 'Specialty')"
"('tzatziki sauce   greek cucumber yogurt sauce', 'Hoppy')"
"('chicken in creamy applesauce', 'Fruity/Spicy')"
"('hamburger vegetable soup   crock pot', 'Hoppy')"
"('rob feenie s green pea risotto', 'Fruity/Spicy')"
"('hamburger soup surprise', 'Fruity/Spicy')"
"('easy 1lb meatloaf', 'Hoppy')"
"('chewy scotch squares', 'Malty')"
"('salsa criolla  chopped tomato salad', 'Hoppy')"
"('spaetzle ii', 'Malty')"
"('wine punch', 'Fruity/Spicy')"
"('vegetarian dog in a blanket', 'Fruity/Spicy')"
"('butter noodles', 'Malty')"
"('polish potato oven omelet', 'Fruity/Spicy')"
"('country style  onion soup', 'Malty')"
"('wizarding world of harry potter butterbeer', 'Specialty')"
"('cold curried chicken salad with cranberries', 'Malty')"
"('bibingka  sweet rice flour', 'Specialty')"
"('white chocolate espresso cheesecake', 'Specialty')"
"('beef short ribs with mushrooms', 'Hoppy')"
"('spaghetti with tomatoes garlic and feta cheese', 'Fruity/Spicy')"
"('addictive olive spread', 'Specialty')"
"('kahlua chicken wings', 'Malty')"
"('carrot cake shot', 'Malty')"
"('copycat  kentucky fried chicken marinade', 'Malty')"
"('chicken in puff pastry', 'Specialty')"
"('black eyed peas black bean salsa', 'Hoppy')"
"('easy nilla tiramisu', 'Specialty')"
"('luscious almond mocha', 'Roasty')"
"('easy pasta salad', 'Fruity/Spicy')"
"('super easy and quick three bean salad', 'Hoppy')"
"('banana mango smoothie', 'Fruity/Spicy')"
"('amazing crab rice cakes', 'Fruity/Spicy')"
"('johnny cakes  the bahamas', 'Malty')"
"('fresh berry sauce', 'Fruity/Spicy')"
"('cool   crisp citrus chiffon pie', 'Fruity/Spicy')"
"('cocoa fudge 1965', 'Specialty')"
"('fiesta chicken and bean burritos', 'Malty')"
"('chocolate chip cookie dough dip', 'Specialty')"
"('apple pie apple cider', 'Malty')"
"('hawaiian pizza appetizers  puff pastry', 'Smoky')"
"('sweet honey mustard salad dressing', 'Malty')"
"('potato onion soup', 'Hoppy')"
"('inside out chicken pot pie', 'Malty')"
"('orange honey muffins', 'Malty')"
"('scalloped potatoes done in the microwave', 'Hoppy')"
"('sweet and snappy zucchini relish   small batch', 'Hoppy')"
"('nancy s italian macaroni and cheese', 'Fruity/Spicy')"
"('creamy pesto pasta', 'Fruity/Spicy')"
"('sauteed broccoli and mushrooms', 'Malty')"
"('apple muffins  cake mix', 'Specialty')"
"('greek scramble with artichokes  black olives and feta', 'Fruity/Spicy')"
"('lemon melt away cookies', 'Hoppy')"
"('cheesy white sauce   microwaved for quickness and ease', 'Fruity/Spicy')"
"('butter and jelly sushi rolls', 'Malty')"
"('too easy croissants', 'Malty')"
"('cherry buckwheat muffins', 'Sour')"
"('fireball chicken', 'Malty')"
"('chilean salad', 'Hoppy')"
"('punjabi chapati   chapatis', 'Hoppy')"
"('rosemary polenta', 'Hoppy')"
"('roasted batatas with lime cumin butter', 'Hoppy')"
"('salmon burgers with lemon sour cream sauce', 'Hoppy')"
"('polish wild mushroom soup', 'Hoppy')"
"('golden peanut butter muffins', 'Smoky')"
"('valarie s chicken bruschetta', 'Fruity/Spicy')"
"('raspberry shrub', 'Fruity/Spicy')"
"('sangria rose', 'Fruity/Spicy')"
"('asparagus   leek quiche', 'Fruity/Spicy')"
"('ukrainian patychky meat on a stick', 'Malty')"
"('tossed salad with apple cider dressing', 'Hoppy')"
"('mexican chicken chili  the best', 'Malty')"
"('stabilized whipped cream icing', 'Specialty')"
"('turkey and lingonberry open faced sandwiches', 'Crisp')"
"('frozen corn or green beans', 'Specialty')"
"('paula deen s best ham salad sandwich', 'Sour')"
"('beef brisket with mop sauce', 'Malty')"
"('green curry with shrimp and fish  kaeng khiao', 'Crisp')"
"('cream cheese coffeecake', 'Specialty')"
"('rice and black beans  rice cooker', 'Fruity/Spicy')"
"('sauteed chicken breasts with fennel and rosemary', 'Malty')"
"('kicked up turkey   havarti melt', 'Hoppy')"
"('easy pleasing meatloaves', 'Hoppy')"
"('pizza dough and sauce', 'Hoppy')"
"('cole slaw', 'Malty')"
"('pasta with citrus cream sauce', 'Fruity/Spicy')"
"('banana chocolate oatmeal bread', 'Specialty')"
"('southwest egg rolls', 'Hoppy')"
"('easy easy smoked salmon', 'Smoky')"
"('seafood clam chowder', 'Hoppy')"
"('soft ginger cookies  biscuits', 'Fruity/Spicy')"
"('jamie oliver s pork with peaches', 'Malty')"
"('rice and corn cakes with spicy black beans', 'Hoppy')"
"('simply delicious stuffed mushrooms', 'Specialty')"
"('raita salad', 'Hoppy')"
"('easy cranberry sweet and sour brisket', 'Roasty')"
"('zucchini   beef italiano', 'Hoppy')"
"('quick chicken kebabs', 'Malty')"
"('moroccan spiced chickpea or garbanzo soup', 'Hoppy')"
"('rockefeller dorado  bonefish copycat', 'Hoppy')"
"('spicy maple sauced pork chops', 'Hoppy')"
"('brined roast pheasant   outdoor wisconsin  style', 'Hoppy')"
"('yummy parmesan chicken fingers', 'Fruity/Spicy')"
"('turkey pastrami scrambles on rye', 'Hoppy')"
"('vanilla pudding pastry filling fast', 'Specialty')"
"('no regrets chocolate snacking cake', 'Specialty')"
"('sugar cookies  light   crisp', 'Specialty')"
"('mexican style chicken', 'Fruity/Spicy')"
"('peanut butter pie  made healthier', 'Specialty')"
"('4 field berry frozen yogurt', 'Hoppy')"
"('asparagus with balsamic butter  weight watchers 0 points', 'Hoppy')"
"('berry grapefruit cup', 'Sour')"
"('fried peanut butter and jelly sandwich', 'Malty')"
"('garlic cilantro salsa', 'Hoppy')"
"('taos salmon chalupas   salmon corn cakes', 'Fruity/Spicy')"
"('spicy afghan meatball kofta', 'Hoppy')"
"('belle s mashed potato', 'Specialty')"
"('get up n go chili  vegan', 'Hoppy')"
"('paula deen s cornbread', 'Rich/Hearty')"
"('stir fry chicken and vegetables', 'Fruity/Spicy')"
"('coconut milk cupcakes with coconut cream cheese frosting and fre', 'Specialty')"
"('beef espresso', 'Hoppy')"
"('crock pot creamy chicken', 'Malty')"
"('asparagus ham casserole', 'Specialty')"
"('thai tenderloins', 'Fruity/Spicy')"
"('north african lentil soup', 'Hoppy')"
"('stuffed herb chicken', 'Fruity/Spicy')"
"('stringy garlic bread', 'Specialty')"
"('bumbacco s spaghetti sauce', 'Rich/Hearty')"
"('french onion pork chops skillet', 'Malty')"
"('grilled nutella and banana sandwich', 'Specialty')"
"('tsatziki sauce', 'Crisp')"
"('sicilian steak', 'Hoppy')"
"('hot cross muffins gluten free', 'Specialty')"
"('blueberry drop biscuits', 'Specialty')"
"('singing shrimp', 'Crisp')"
"('peach freezer jam   eating well magazine', 'Hoppy')"
"('green beans and onions', 'Hoppy')"
"('spinach   garlic scape pesto', 'Hoppy')"
"('aztec onion lime soup with corn dumplings', 'Hoppy')"
"('spiced potatoes on the grill', 'Hoppy')"
"('thai green papaya salad aka som tam', 'Crisp')"
"('bay baked potato', 'Rich/Hearty')"
"('lemongrass gin and tonic', 'Malty')"
"('delicious roast chicken  or turkey  cornish hens  etc', 'Fruity/Spicy')"
"('baked ricotta and spinach rigatoni', 'Fruity/Spicy')"
"('rosemary yam fries', 'Malty')"
"('butterscotch cinnamon rolls', 'Malty')"
"('chocolate walnut cranberry cake  light', 'Specialty')"
"('pumpkin hazelnut tea cake', 'Specialty')"
"('easy tasty murukku', 'Hoppy')"
"('ed harris  mandarin orange dessert', 'Specialty')"
"('irish flummery', 'Fruity/Spicy')"
"('special potato salad', 'Crisp')"
"('coconut flour peanut butter oatmeal cookies', 'Specialty')"
"('ham and pickle wraps', 'Specialty')"
"('apple cake   gluten free and grain free  made in the thermomix', 'Specialty')"
"('easy awesome tuna casserole', 'Hoppy')"
"('darlene s low cal  no fat pineapple cheese spread', 'Fruity/Spicy')"
"('lemony chicken pasta toss', 'Fruity/Spicy')"
"('apple rhubarb pie', 'Hoppy')"
"('citrus sangria', 'Malty')"
"('cool ranch taco salad', 'Hoppy')"
"('anita s salsa picante', 'Hoppy')"
"('almond topped chicken', 'Fruity/Spicy')"
"('aunt rebecca s creamed potatoes   peas', 'Smoky')"
"('two 12 inch good and easy pepperoni pizzas', 'Fruity/Spicy')"
"('jam mazurkas  inspired by mean chef', 'Fruity/Spicy')"
"('yummy mexican lasagna w  a healthier kick', 'Specialty')"
"('slow cooker sauerkraut and pork tenderloin', 'Malty')"
"('low fat whole wheat banana nut chocolate chip cookies', 'Specialty')"
"('biscuit popper roll bake', 'Hoppy')"
"('spicy cajun dip', 'Hoppy')"
"('special k marshmallow treats', 'Roasty')"
"('tasty tahini sauce', 'Hoppy')"
"('banana bread pie', 'Specialty')"
"('reheating cooked shellfish', 'Crisp')"
"('bengali spiced squash', 'Hoppy')"
"('laurie colwin s nutmeg cake', 'Malty')"
"('chinese sticky rice dumplings', 'Malty')"
"('ravioli with fresh tomato pesto', 'Fruity/Spicy')"
"('polenta soup', 'Fruity/Spicy')"
"('5 minute mug chocolate cake', 'Specialty')"
"('homemade giblet stuffing for turkey or chicken', 'Hoppy')"
